product_name,product_url,product_price,product_unit,supplier_name,supplier_location,pdp_wattage,pdp_brand,pdp_body_material,pdp_ip_rating,pdp_usage/application,pdp_lighting_color,pdp_color_temperature,pdp_country_of_origin,pdp_description,pdp_supplier_member_since,pdp_supplier_rating,pdp_supplier_reviews_count
"Abaj Aluminium Petrol PumpLedLights, IP Rating: IP66, 30w-200w",https://www.indiamart.com/proddetail/petrol-pump-led-lights-2850313552373.html?pos=1&kwd=led lights&tags=|PL|||8228.275|Price|product|||SSlc|rsf:pl-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,"₹ 2,876",/Piece,Abaj Interiors Private Limited,Ahmedabad,30w-200w,Abaj,Aluminium,IP66,petrol pump,Warm White,3500-4100 K,Made in India,We  Abaj Interiors Private Limited was commenced in the year 2008  are indulged in manufacturing a wide array of LED Light  The offered product range consists of LED Tube Light  LED Panel Light  LED Flood Light and many more  The finished products are tested on various parameters due to which our wide array have gained huge accolades among our clients for sturdy construction  low power consumption  perfect brightness  and easy maintenance,,4.5,50
Surface MountLEDLights,https://www.indiamart.com/proddetail/surface-mount-led-lights-2851533127130.html?pos=2&kwd=led lights&tags=A||||8228.275|Price|product|||SSlc|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,₹ 300,/Piece,N D Electronics,Ahmedabad,,,,,,,,Made in India,"N D Electronics Is one Of the Leading Supplier Of , LED Floodlight , LED Panel Light	,LED Street Light , LED COB Light  , etc  Pan India",,4.1,105
"Cool White IndoorLEDLight, 15W",https://www.indiamart.com/proddetail/indoor-led-light-11672173562.html?pos=3&kwd=led lights&tags=A||||8211.142|Price|product|||LSlc|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,₹ 250,/Piece,Kalpatru Industries,Mumbai,15W,Appelite,,,,Cool White,,Made in India,,,4.4,449
Lumen ABS Plastic Up DownLEDLight,https://www.indiamart.com/proddetail/up-down-led-light-19037933530.html?pos=4&kwd=led lights&tags=A||||8723.301|Price|product|||TS|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,₹ 450,/Piece,S.V. Electricals And Industries,Bhopal,6W,Lumen,ABS Plastic,,,Pure White,2700-3000 K,,"Our firm is a foremost name, involved in providing a diverse range of Up Down LED Light . Experts use the advanced techniques to develop this product as per client's demand.",,4.5,38
"VTAC CeilingLEDLights, For Indoor",https://www.indiamart.com/proddetail/vtac-ceiling-led-lights-25410759355.html?pos=5&kwd=led lights&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,₹ 105,/Piece,Vtac India,Mumbai,,VTAC,,IP65,Indoor,,,Made in India,"VTAC is no1 European led lighting brand which sells led lighting across 70 countries worldwide & we are happy to serve you with the world's most trusted brand in led lighting VTAC The V-TAC Ceiling LED Light  is Available in Round & Square Shape. This particular model is a V-TAC Ceiling LED Light with a high power led panel giving you the desired amount of lumen output. The VTAC V-TAC Ceiling LED Light body color is white, but can be customized, options of Black body/ wooden finish/ or any other choice is also available upon request for this model of V-TAC Ceiling LED Light. (please call and enquire further for V-TAC Ceiling-Mounted LED Light) We would be happy to help you with any further requirements or inquiry of the V-TAC Ceiling LED Light. This VTAC V-TAC Ceiling LED Light is easily available in your nearest Lighting shops.",,4.1,98
"CeramicLEDLights, Lighting Color: Cool White",https://www.indiamart.com/proddetail/led-lights-25242045412.html?pos=6&kwd=led lights&tags=A||||8741.812|Price|product|||LSnp|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=3,₹ 135,/Piece,Hippostores Technology Private Limited,Gurugram,12 W,,Ceramic,,Home,Cool White,,,We can supply all kinds of LED Lights from leading manufacturers of India at highly discounted prices.,,3.5,14
"Aluminum and Glass EL EC500CWLEDLight, Lighting Color: Warm White, 50 Degree C",https://www.indiamart.com/proddetail/el-ec500cw-led-light-23904058197.html?pos=7&kwd=led lights&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,"₹ 9,500",/Piece,Haryana General Industries,New Delhi,500W,Matador,Aluminum and Glass,,Outdoor,Warm White,,Made in India,we have a wide range of led light iwth bets quality and price range. Available Model: M LED EL EC 500 WW M LED FL EC350-L,,4.3,62
"3m PixelLedLights, PolyCarbonate",https://www.indiamart.com/proddetail/pixel-led-lights-2850338712197.html?pos=8&kwd=led lights&tags=A||||8584.299|Price|product|||TS|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=3,₹ 85,/Meter,Dk Led Lights,Coimbatore,12 Watts,DK,,,,,,Made in India,"We deal in Pixel led lights , Unlike traditional LEDs, an LED Pixel integrates all the necessary electronic components into a single, prefabricated device. This means that they simply need to be plugged in for use. To get these pixel led lights at best prices, contact us.",,3.8,44
ArrowLedLight,https://www.indiamart.com/proddetail/arrow-led-light-27599351533.html?pos=9&kwd=led lights&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=3,₹ 500,/Piece,Holma Craft,Noida,,,,,,,,,"Point the way with this bold arrow LED light. Designed for both functionality and style, it provides bright, directional lighting suitable for signage or decorative purposes. Durable and energy-efficient, this light is perfect for events, parties, or adding a modern touch to your space.​",,3.8,14
"PlasticLedLight, Lighting Color: Warm White",https://www.indiamart.com/proddetail/led-light-25508695955.html?pos=10&kwd=led lights&tags=BA||||8211.142|Price|product|||MDC|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,"₹ 3,014",/Piece,Lamat Impex,Mumbai,,,Plastic,,Decoration,Warm White,,Made in India,(88Led) 50Mtr,,4,105
"Abaj Aluminium Petrol PumpLedLights, IP Rating: IP66, 30w-200w",https://www.indiamart.com/proddetail/petrol-pump-led-lights-2850313552373.html?pos=1&kwd=led lights&tags=|PL|||8228.275|Price|product|||SSlc|rsf:pl-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,"₹ 2,876",/Piece,Abaj Interiors Private Limited,Ahmedabad,30w-200w,Abaj,Aluminium,IP66,petrol pump,Warm White,3500-4100 K,Made in India,We  Abaj Interiors Private Limited was commenced in the year 2008  are indulged in manufacturing a wide array of LED Light  The offered product range consists of LED Tube Light  LED Panel Light  LED Flood Light and many more  The finished products are tested on various parameters due to which our wide array have gained huge accolades among our clients for sturdy construction  low power consumption  perfect brightness  and easy maintenance,,4.5,50
Surface MountLEDLights,https://www.indiamart.com/proddetail/surface-mount-led-lights-2851533127130.html?pos=2&kwd=led lights&tags=A||||8228.275|Price|product|||SSlc|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,₹ 300,/Piece,N D Electronics,Ahmedabad,,,,,,,,Made in India,"N D Electronics Is one Of the Leading Supplier Of , LED Floodlight , LED Panel Light	,LED Street Light , LED COB Light  , etc  Pan India",,4.1,105
"Cool White IndoorLEDLight, 15W",https://www.indiamart.com/proddetail/indoor-led-light-11672173562.html?pos=3&kwd=led lights&tags=A||||8211.142|Price|product|||LSlc|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,₹ 250,/Piece,Kalpatru Industries,Mumbai,15W,Appelite,,,,Cool White,,Made in India,,,4.4,449
Lumen ABS Plastic Up DownLEDLight,https://www.indiamart.com/proddetail/up-down-led-light-19037933530.html?pos=4&kwd=led lights&tags=A||||8723.301|Price|product|||TS|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,₹ 450,/Piece,S.V. Electricals And Industries,Bhopal,6W,Lumen,ABS Plastic,,,Pure White,2700-3000 K,,"Our firm is a foremost name, involved in providing a diverse range of Up Down LED Light . Experts use the advanced techniques to develop this product as per client's demand.",,4.5,38
"VTAC CeilingLEDLights, For Indoor",https://www.indiamart.com/proddetail/vtac-ceiling-led-lights-25410759355.html?pos=5&kwd=led lights&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,₹ 105,/Piece,Vtac India,Mumbai,,VTAC,,IP65,Indoor,,,Made in India,"VTAC is no1 European led lighting brand which sells led lighting across 70 countries worldwide & we are happy to serve you with the world's most trusted brand in led lighting VTAC The V-TAC Ceiling LED Light  is Available in Round & Square Shape. This particular model is a V-TAC Ceiling LED Light with a high power led panel giving you the desired amount of lumen output. The VTAC V-TAC Ceiling LED Light body color is white, but can be customized, options of Black body/ wooden finish/ or any other choice is also available upon request for this model of V-TAC Ceiling LED Light. (please call and enquire further for V-TAC Ceiling-Mounted LED Light) We would be happy to help you with any further requirements or inquiry of the V-TAC Ceiling LED Light. This VTAC V-TAC Ceiling LED Light is easily available in your nearest Lighting shops.",,4.1,98
"CeramicLEDLights, Lighting Color: Cool White",https://www.indiamart.com/proddetail/led-lights-25242045412.html?pos=6&kwd=led lights&tags=A||||8741.812|Price|product|||LSnp|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=3,₹ 135,/Piece,Hippostores Technology Private Limited,Gurugram,12 W,,Ceramic,,Home,Cool White,,,We can supply all kinds of LED Lights from leading manufacturers of India at highly discounted prices.,,3.5,14
"Aluminum and Glass EL EC500CWLEDLight, Lighting Color: Warm White, 50 Degree C",https://www.indiamart.com/proddetail/el-ec500cw-led-light-23904058197.html?pos=7&kwd=led lights&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,"₹ 9,500",/Piece,Haryana General Industries,New Delhi,500W,Matador,Aluminum and Glass,,Outdoor,Warm White,,Made in India,we have a wide range of led light iwth bets quality and price range. Available Model: M LED EL EC 500 WW M LED FL EC350-L,,4.3,62
"3m PixelLedLights, PolyCarbonate",https://www.indiamart.com/proddetail/pixel-led-lights-2850338712197.html?pos=8&kwd=led lights&tags=A||||8584.299|Price|product|||TS|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=3,₹ 85,/Meter,Dk Led Lights,Coimbatore,12 Watts,DK,,,,,,Made in India,"We deal in Pixel led lights , Unlike traditional LEDs, an LED Pixel integrates all the necessary electronic components into a single, prefabricated device. This means that they simply need to be plugged in for use. To get these pixel led lights at best prices, contact us.",,3.8,44
ArrowLedLight,https://www.indiamart.com/proddetail/arrow-led-light-27599351533.html?pos=9&kwd=led lights&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=3,₹ 500,/Piece,Holma Craft,Noida,,,,,,,,,"Point the way with this bold arrow LED light. Designed for both functionality and style, it provides bright, directional lighting suitable for signage or decorative purposes. Durable and energy-efficient, this light is perfect for events, parties, or adding a modern touch to your space.​",,3.8,14
"PlasticLedLight, Lighting Color: Warm White",https://www.indiamart.com/proddetail/led-light-25508695955.html?pos=10&kwd=led lights&tags=BA||||8211.142|Price|product|||MDC|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,"₹ 3,014",/Piece,Lamat Impex,Mumbai,,,Plastic,,Decoration,Warm White,,Made in India,(88Led) 50Mtr,,4,105
"Abaj Aluminium Petrol PumpLedLights, IP Rating: IP66, 30w-200w",https://www.indiamart.com/proddetail/petrol-pump-led-lights-2850313552373.html?pos=1&kwd=led lights&tags=|PL|||8228.275|Price|product|||SSlc|rsf:pl-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,"₹ 2,876",/Piece,Abaj Interiors Private Limited,Ahmedabad,30w-200w,Abaj,Aluminium,IP66,petrol pump,Warm White,3500-4100 K,Made in India,We  Abaj Interiors Private Limited was commenced in the year 2008  are indulged in manufacturing a wide array of LED Light  The offered product range consists of LED Tube Light  LED Panel Light  LED Flood Light and many more  The finished products are tested on various parameters due to which our wide array have gained huge accolades among our clients for sturdy construction  low power consumption  perfect brightness  and easy maintenance,,4.5,50
Surface MountLEDLights,https://www.indiamart.com/proddetail/surface-mount-led-lights-2851533127130.html?pos=2&kwd=led lights&tags=A||||8228.275|Price|product|||SSlc|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,₹ 300,/Piece,N D Electronics,Ahmedabad,,,,,,,,Made in India,"N D Electronics Is one Of the Leading Supplier Of , LED Floodlight , LED Panel Light	,LED Street Light , LED COB Light  , etc  Pan India",,4.1,105
"Cool White IndoorLEDLight, 15W",https://www.indiamart.com/proddetail/indoor-led-light-11672173562.html?pos=3&kwd=led lights&tags=A||||8211.142|Price|product|||LSlc|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,₹ 250,/Piece,Kalpatru Industries,Mumbai,15W,Appelite,,,,Cool White,,Made in India,,,4.4,449
Lumen ABS Plastic Up DownLEDLight,https://www.indiamart.com/proddetail/up-down-led-light-19037933530.html?pos=4&kwd=led lights&tags=A||||8723.301|Price|product|||TS|rsf:gd-|-res:RC5|ktp:N0|stype:attr=1|mtp:SP|wc:2|qr_nm:gd|cs:14274|com-cf:nl|ptrs:na|mc:32318|cat:826|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-3-7-0|qrd:250528|mrd:250516|prdt:250602|msf:hs|v=4|r=4,₹ 450,/Piece,S.V. Electricals And Industries,Bhopal,6W,Lumen,ABS Plastic,,,Pure White,2700-3000 K,,"Our firm is a foremost name, involved in providing a diverse range of Up Down LED Light . Experts use the advanced techniques to develop this product as per client's demand.",,4.5,38
